player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2023,2328,1140,-2.436260196155887,.6131385032733567,-1.82312169288253,1.591655970322059,-3.747433511719838,-2.155777541397779,-1.764277502786721,-.2757414704926281,-2.040018973279349,.4090290814270167,.4090290814270167,0,-1.850761225085224,-.1752801033047617,-2.026041328389986,-.9571090487524517
Steven Adams,adamsst01,2023,2391,1133,-.5372618008903516,4.171893120814262,3.634631319923911,4.199923516216243,.1822295976594548,4.382153113875698,.4187163306294813,3.548030689367943,3.966747019997424,3.891811736554575,3.891811736554575,0,.0278768093502636,3.566829375253484,3.594706184603747,.2379106018388284
Bam Adebayo,adebaba01,2023,6444,3196,-1.785013124521425,2.482726535400142,.6977134108787174,1.699473785331441,2.643622643745196,4.343096429076637,-1.155300547726355,2.65226701965112,1.496966471924765,6.92627073471995,5.69616222610089,1.23010850861906,-.7409746325735068,2.452710647853536,1.71173601528003,-.509232279203543
Ochai Agbaji,agbajoc01,2023,2604,1209,-1.328228230200949,-2.197352329487604,-3.525580559688553,.6344272553782652,-.5678704076446554,.0665568477336098,-1.014980873183256,-1.96365561995862,-2.978636493141877,-.1413316071428403,-.1413316071428403,0,-1.157264859434881,-2.504081840442326,-3.661346699877206,.2156713150079063
Santi Aldama,aldamsa01,2023,3824,1783,-1.024141858130289,-.405152714827662,-1.429294572957951,-.1707800112373932,-1.334736265601371,-1.505516276838764,-.9085530699253471,-.6730980392632919,-1.581651109188639,1.059530347916078,1.159969927947545,-.1004395800314665,-1.242739016318176,-.1594351513334583,-1.402174167651635,-.0372061808484703
Nickeil Alexander-Walker,alexani01,2023,2185,1032,-.0918822943951878,4.098786796086739,4.006904501691551,-1.238605700077109,2.283064704315876,1.044459004238767,-.3356499033549072,3.990011341290816,3.654361437935909,3.464108702941701,2.406460317789071,1.057648385152631,-.1643714210736549,3.414814769266527,3.250443348192872,.4355215385763164
Grayson Allen,allengr01,2023,4534,2121,-.0473236592712268,.2568667673160401,.2095431080448134,.5175027968806736,-.4983494383525882,.0191533585280854,.0672306820789356,.0680254679984199,.1352561500773554,3.141769090137136,2.882382888579037,.2593862015580987,.2857871475615167,.0028709680483544,.2886581156098711,.3798668390474507
Jarrett Allen,allenja01,2023,4833,2411,-1.337890291924963,1.641386073937455,.3034957820124923,3.298226210351608,1.674882616894267,4.973108827245875,-.4592325033495229,1.683730557698218,1.224498054348695,4.868513054026711,4.538160527464194,.3303525265625177,-.3462852061035389,2.289724311621897,1.943439105518358,-.5760589563545653
Jose Alvarado,alvarjo01,2023,2778,1310,.0385681908320197,1.396988925363539,1.435557116195559,-.6774111151104838,3.380928809824706,2.703517694714222,-.1041504363034767,1.866544085714921,1.762393649411444,3.02553203218582,3.02553203218582,0,-.4326652061255278,1.928085084205767,1.495419878080239,.321939888425179
Kyle Anderson,anderky01,2023,4359,2061,-.0843421984362243,1.254319266283888,1.169977067847663,1.522397642741845,.4131946521054079,1.935592294847253,.2614328568422162,1.146338038003415,1.407770894845632,4.345207115612233,4.390414524043672,-.0452074084314396,-.4423046609805006,1.315347067782653,.8730424068021525,-.2999819026671948
Giannis Antetokounmpo,antetgi01,2023,4574,2115,3.36331353626645,1.935534323733782,5.298847860000233,2.635154153947963,1.834072883275749,4.469227037223713,3.388318077064408,1.9838859519103,5.372204028974708,8.914620720250953,9.304276044038126,-.3896553237871733,3.460460818464347,1.235131857609779,4.695592676074126,1.631957128418996
Thanasis Antetokounmpo,antetth01,2023,460,211,-5.624968505959189,-3.914510401529202,-9.539478907488391,-9.562935465954618,-8.88558497675684,-18.44852044271146,-6.773792230719793,-5.224233755799271,-11.99802598651906,-.989707927252387,-.9458333985969348,-.0438745286554522,-5.473175285478123,-5.536170805943805,-11.00934609142193,-.6893309097737914
Cole Anthony,anthoco01,2023,3230,1552,1.926192275698233,-.5851746998297691,1.341017575868464,1.710628845684171,.225819987421474,1.936448833105645,2.040574494536858,-.4522838827650791,1.588290611771779,3.408401257345304,3.408401257345304,0,1.475952289128697,-.3861430958496747,1.089809193279022,-.7871271629579661
O.G. Anunoby,anunoog01,2023,4888,2386,-.8592201605151094,1.89824592990021,1.039025769385101,-.2222671837463057,2.822617361003377,2.600350177257071,-.790829241806513,2.202330577769885,1.411501335963372,5.08560808831732,5.08560808831732,0,.1048702678227606,2.941263093598567,3.046133361421328,.3916597260243319
Ryan Arcidiacono,arcidry01,2023,375,172,-7.085928717062787,2.303476269739696,-4.782452447323091,-10.78064370730071,6.766388735667895,-4.014254971632814,-8.303500208832196,3.429326300788328,-4.874173908043868,-.1854198760164517,-.1854198760164517,0,-6.909663271621842,1.619985065048884,-5.289678206572959,-.5033022738534718
Deni Avdija,avdijde01,2023,4198,2020,-1.922886345656589,.9573681698516455,-.965518175804943,-.6081128937528514,-.1769810088628318,-.7850939026156831,-1.765223562036359,.7939251849472413,-.9712983770891175,1.833845610091033,1.833845610091033,0,-1.535144596450677,1.22814022316506,-.3070043732856174,.0390161971905193
Deandre Ayton,aytonde01,2023,4842,2354,-2.293416197650573,.0877479759234619,-2.205668221727112,-2.191220665685233,-1.792038768138835,-3.983259433824068,-2.41960083691259,-.3186420396657867,-2.738242876578377,.0055367058995854,.3766397464307808,-.3711030405311954,-2.31961539399732,.1168896973161769,-2.202725696681143,-.520376895407749
Udoka Azubuike,azubuud01,2023,785,359,-4.8798669117941,.9804033518513696,-3.89946355994273,-6.311606813946943,-1.952848275645795,-8.264455089592738,-5.498901490304891,.4680821575716543,-5.030819332733236,-.4158811161280383,-.4158811161280383,0,-5.854904738132999,-1.39771835866852,-7.252623096801518,-.4537055467575302
Marvin Bagley III,baglema01,2023,2066,990,-1.943405340709308,.973051925153736,-.9703534155555718,-1.357059739080769,-1.735901056832217,-3.092960795912985,-1.876665977274171,.5285209666498691,-1.348145010624302,.7052823402314238,.7052823402314238,0,-2.051265457290473,-.4160740818867636,-2.467339539177237,-.3979645206023418
Patrick Baldwin Jr.,baldwpa01,2023,507,237,-2.489669700615454,-1.620012175210326,-4.10968187582578,-5.970257106441237,-3.025713774502692,-8.995970880943929,-3.365295418201431,-2.002011358566384,-5.367306776767814,-.3179462607061453,-.324993283334962,.0070470226288167,-1.74916993741597,-2.551434086937995,-4.300604024353965,.3587738437266234
LaMelo Ball,ballla01,2023,2757,1268,1.810549747425678,-.3485750345824768,1.461974712843201,2.649561931283211,-3.253605021072557,-.6040430897893461,2.211919482599485,-.9665657688171223,1.245353713782363,2.624053861198758,2.624053861198758,0,2.704117592146547,-.1212634565031872,2.582854135643359,1.535656750557293
Mo Bamba,bambamo01,2023,1613,779,-1.415645179004553,-1.205567365623125,-2.621212544627679,1.547893116127272,1.099994883804437,2.647887999931709,-.8626908308692873,-.8047794581367849,-1.667470289006072,.434367387161987,.4618273507451175,-.0274599635831306,-.8937068510504974,-1.61919286810445,-2.512899719154948,-.3903837620582237
Paolo Banchero,banchpa01,2023,5096,2430,-1.579185825314871,-.8645089961326595,-2.44369482144753,-.5178220008422965,-4.504851714133697,-5.022673714975994,-1.400261136120659,-1.67717087098155,-3.077432007102208,-.4075351003608012,-.4075351003608012,0,-1.597080179523,-1.843831283156422,-3.440911462679422,.3952071644720804
Desmond Bane,banede01,2023,4448,2072,2.950708626313974,-.2988182999310061,2.651890326382968,3.62657446635776,1.511113664657285,5.137688131015046,3.264849168326704,.0182298659097464,3.28307903423645,6.412262595291907,6.225793705812548,.1864688894793587,2.555303215688315,.2317318573678146,2.78703507305613,.6514569312320379
Dalano Banton,bantoda01,2023,588,279,-.9350780229525119,-1.499701876759908,-2.43477989971242,-4.526318965048567,-.7511549557467396,-5.277473920795307,-1.750993817327444,-1.444691789560047,-3.195685606887491,-.0634020825825837,-.0634020825825837,0,-1.581007530218002,-.9903442931420018,-2.571351823360004,-.062671237451775
Dominick Barlow,barlodo01,2023,893,408,-2.052712293694501,.3376089433393276,-1.715103350355173,-3.190424301111781,-.3850166233364813,-3.575440924448263,-2.372998614866468,.3210095761370855,-2.051989038729383,.1449831715261855,.1449831715261855,0,-3.736943926899864,-.2967870517107858,-4.03373097861065,-.2194489093842247
Harrison Barnes,barneha02,2023,6075,2858,.5476993144151461,.6415710583801293,1.189270372795276,.6853290426219686,-.5582264479175617,.1271025947044073,.5752189915440065,.446069634030521,1.021288625574527,5.523873871635238,5.442215213911289,.0816586577239493,.4476827341624336,.1507330300949942,.5984157642574277,.1646788862965694
Scottie Barnes,barnesc01,2023,5507,2678,-.4163476483789432,.4016090795700727,-.0147385688088704,2.439503367686172,.8019762000154905,3.241479567701663,.140827757538287,.4997553641152936,.6405831216535806,4.614320144671068,4.614320144671068,0,.840020112529608,1.388428401009983,2.228448513539592,-.3984202914168423
RJ Barrett,barrerj01,2023,5830,2852,-.2900501744902047,-1.951503984661643,-2.241554159151848,-1.848248359199443,-4.119454110813607,-5.967702470013051,-.6701315058329999,-2.533579210365442,-3.203710716198442,-.6593440366622267,-.6474055764129156,-.0119384602493111,-.1169318432829789,-2.06122443531227,-2.178156278595249,.5120610279295911
Will Barton,bartowi01,2023,2072,993,-1.682912900422657,-4.071362850288307,-5.754275750710965,-4.816363369215646,-.6433751308662455,-5.459738500081891,-2.439100673759897,-3.598275529810158,-6.037376203570054,-1.658706073251162,-1.658706073251162,0,-1.919753722670313,-3.408206261728232,-5.327959984398546,-.3871816981267487
Charles Bassey,bassech01,2023,1093,508,-1.912509568319198,.286535551226571,-1.625974017092627,-.6815029418954088,2.302100071103561,1.620597129208152,-1.712035654396107,.8331019281390416,-.8789337262570659,.485660926834234,.485660926834234,0,-2.604271552590574,-.5341490113221248,-3.138420563912699,.1488111115447906
Keita Bates-Diop,bateske01,2023,3121,1452,-1.036033873428748,-.1172956908979256,-1.153329564326673,-2.206645818055755,.6262087771014144,-1.58043704095434,-1.285435150188733,.1027254391390675,-1.182709711049666,1.160952470805065,1.160952470805065,0,-2.197613909772636,-.8935812350653147,-3.09119514483795,-.0097777021707114
Nicolas Batum,batumni01,2023,3802,1801,-.9596122227716336,.2237202921461608,-.7358919306254728,.5060999962555974,1.900872184047648,2.406972180303245,-.7182321825938657,.5829482838810146,-.135283898712851,2.405657160080829,2.530125354499313,-.1244681944184836,-1.048017438052373,.5283437431008043,-.5196736949515685,.2423452581884909
Darius Bazley,bazleda01,2023,1308,616,-3.468963543209186,3.26384163027275,-.2051219129364364,-3.752631940638392,1.153051600703151,-2.599580339935241,-3.748643865087131,3.007408131353866,-.7412357337332642,.6302568259783465,.6302568259783465,0,-2.832253356552824,1.845957758470055,-.9862955980827687,-.0841587059695613
Bradley Beal,bealbr01,2023,3414,1673,2.354684959173084,-1.420459456801183,.9342255023719015,2.59010950185846,-.6815315408270374,1.908577961031423,2.542594234403372,-1.345064038432651,1.197530195970721,3.349809993229894,3.349809993229894,0,2.299732581535708,-1.381161926428021,.9185706551076871,-.5889843563574441
Malik Beasley,beaslma01,2023,4649,2184,.3683146597448831,-1.679945191648254,-1.311630531903371,-1.733185230579894,-1.42420990084743,-3.157395131427324,-.0558961161211547,-1.727578491675203,-1.783474607796358,1.079151996821654,1.250121468103642,-.170969471281988,.3276234066653121,-1.718639621358532,-1.39101621469322,.4307223922125146
MarJon Beauchamp,beaucma01,2023,1516,706,-3.488817597905894,-1.587126678797985,-5.075944276703879,-3.520200485640993,-2.309275679282249,-5.829476164923242,-3.702611706949215,-1.881792718809197,-5.584404425758413,-1.026449730687026,-1.011592279820185,-.0148574508668408,-2.76854677628274,-1.762355457539082,-4.530902233821821,.5175647171731212
Davis Bertans,bertada01,2023,1028,492,.243901260956764,-.957262854753052,-.7133615937962881,-2.372539322120758,-.3984439833233075,-2.770983305444066,-.3050761783491837,-.8684235381544194,-1.173499716503603,.3974029345218997,.3974029345218997,0,-.0527265872986863,-1.803227848569152,-1.855954435867838,.4265462340450473
Patrick Beverley,beverpa01,2023,3786,1816,-2.76586019448131,.4399931963589213,-2.325866998122389,-1.509422079031504,-.5756797217845419,-2.085101800816045,-2.665604303630699,.2385620493965752,-2.427042254234124,.319216501664722,.319216501664722,0,-3.068588015841476,1.341560477424266,-1.72702753841721,-.7455313678220297
Saddiq Bey,beysa01,2023,4830,2262,1.388083693353836,-2.41554247733884,-1.027458783985004,2.372651254137771,-2.142833120844155,.2298181332936156,1.713369775198408,-2.464454724861411,-.7510849496630025,2.30048961403991,2.538579612668842,-.2380899986289322,1.438340223619826,-2.521639596869967,-1.083299373250141,-.0620900571250396
Khem Birch,birchkh01,2023,331,162,-6.389108546020808,-.8204996591382706,-7.209608205159079,-2.412908911818758,2.658828067400733,.2459191555819746,-5.971142004833918,-.1519870819004897,-6.123129086734408,-.2770842011663957,-.2770842011663957,0,-5.979273331833483,-.1719522459917305,-6.151225577825214,-.6201680270243081
Goga Bitadze,bitadgo01,2023,955,457,-.0267089871667357,1.422110821988751,1.395401834822015,-1.113156338780702,4.903698155851022,3.79054181707032,-.2259580017532699,2.27101735343596,2.045059351682691,1.123222174436985,1.123222174436985,0,-.6980993643723991,.5643791271415589,-.1337202372308403,-.0173386314800223
Bismack Biyombo,biyombi01,2023,1973,952,-4.128135866406943,.6032787336571229,-3.52485713274982,-.1450265516493899,.9328899261643255,.787863374514936,-3.566744682696125,.6669609973137333,-2.899783685382392,-.0782259104164229,.2195226545206783,-.2977485649371012,-3.551327977038976,.3091113335834602,-3.242216643455516,-.375887992493055
Buddy Boeheim,boehebu01,2023,187,90,-2.414408683460691,-2.658806802835122,-5.073215486295814,-.9765764837366484,6.269332157169022,5.292755673432374,-2.232411874101829,-.8951662393785722,-3.127578113480401,-.0172344565420893,-.0172344565420893,0,-3.113672840663662,-2.050076963129333,-5.163749803792996,-.6006519641341932
Bogdan Bogdanovic,bogdabo01,2023,3514,1665,2.729621582909691,-.2611448559547377,2.468476726954953,3.917271620455653,-1.882971421047021,2.034300199408634,3.118893387699446,-.5976606004463393,2.521232787253108,4.487345121346882,3.415693863659239,1.071651257687642,3.506966443057605,-.5032139090541901,3.003752534003416,-.450641483633024
Bojan Bogdanovic,bogdabo02,2023,3990,1893,1.823716666021731,-3.149506754122942,-1.32579008810121,1.784391382879742,-3.220236845698289,-1.435845462818547,2.015725869026701,-3.306918251155649,-1.291192382128949,1.418859071263115,1.418859071263115,0,1.613765468080756,-3.548454323587019,-1.934688855506263,.7113819076160004
Bol Bol,bolbo01,2023,3165,1505,-3.054967427236307,-1.633977855716826,-4.688945282953133,-3.61248261827176,-.1927113072659509,-3.805193925537711,-3.323491032140181,-1.430161901982049,-4.753652934122231,-1.53946807185246,-1.53946807185246,0,-4.363856777866343,-2.358603421296765,-6.722460199163109,.0630571771701527
Leandro Bolmaro,bolmale01,2023,147,68,-11.57778860214975,7.473696559249475,-4.104092042900274,-6.480450532885729,10.25860294313259,3.778152410246861,-11.23869715728845,8.554588484993808,-2.684108672294643,.0023243684569537,.0023243684569537,0,-8.81953322554496,4.360940751904605,-4.458592473640356,1.693754125793866
